,date,price
0,2021-09-29,34.0
1,2021-09-30,34.0
2,2021-10-01,34.0
3,2021-10-04,34.0
4,2021-10-05,34.0
5,2021-10-06,34.0
6,2021-10-07,34.0
7,2021-10-08,34.0
8,2021-10-11,34.0
9,2021-10-12,34.0
10,2021-10-13,34.0
11,2021-10-14,34.0
12,2021-10-18,34.0
13,2021-10-19,34.0
14,2021-10-20,34.0
15,2021-10-21,34.0
16,2021-10-22,34.0
17,2021-10-25,34.0
18,2021-10-26,34.0
19,2021-10-28,34.0
20,2021-10-29,34.0
21,2021-11-02,34.0
22,2021-11-03,34.0
23,2021-11-04,34.0
24,2021-11-05,34.0
25,2021-11-08,34.0
26,2021-11-09,34.0
27,2021-11-10,34.0
28,2021-11-12,34.0
29,2021-11-15,34.0
30,2021-11-16,34.0
31,2021-11-17,34.0
32,2021-11-18,34.0
33,2021-11-19,34.0
34,2021-11-22,34.0
35,2021-11-23,34.0
36,2021-11-24,34.0
37,2021-11-25,34.0
38,2021-11-26,34.0
39,2021-11-29,34.0
40,2021-11-30,34.0
41,2021-12-01,34.0
42,2021-12-02,34.0
43,2021-12-03,34.0
44,2021-12-06,32.4
45,2021-12-07,32.0
46,2021-12-08,32.0
47,2021-12-09,32.0
48,2021-12-10,32.0
49,2021-12-13,32.0
50,2021-12-14,32.0
51,2021-12-15,32.0
52,2021-12-16,32.0
53,2021-12-20,32.0
54,2021-12-21,32.0
55,2021-12-23,32.0
56,2021-12-24,32.0
57,2021-12-27,31.4
58,2021-12-28,31.0
59,2021-12-29,31.0
60,2021-12-30,31.0
61,2021-12-31,31.0
62,2022-01-03,31.0
63,2022-01-04,31.0
64,2022-01-05,31.0
65,2022-01-06,31.0
66,2022-01-07,31.0
67,2022-01-10,31.0
68,2022-01-11,31.0
69,2022-01-12,31.0
70,2022-01-13,31.0
71,2022-01-14,31.0
72,2022-01-17,31.0
73,2022-01-18,31.0
74,2022-01-19,31.0
75,2022-01-20,31.0
76,2022-01-21,31.0
77,2022-01-24,31.0
78,2022-01-25,31.0
79,2022-01-26,31.0
80,2022-01-27,31.0
81,2022-01-28,31.0
82,2022-01-31,31.0
83,2022-02-01,31.0
84,2022-02-03,31.0
85,2022-02-04,31.0
86,2022-02-07,31.0
87,2022-02-08,31.0
88,2022-02-09,31.0
89,2022-02-10,31.0
90,2022-02-11,31.0
91,2022-02-14,31.0
92,2022-02-15,31.0
93,2022-02-16,31.0
94,2022-02-17,31.0
95,2022-02-18,31.0
96,2022-02-24,31.0
97,2022-02-25,31.0
98,2022-02-28,31.0
99,2022-03-01,31.0
100,2022-03-02,31.0
101,2022-03-07,31.0
102,2022-03-08,31.0
103,2022-03-09,31.0
104,2022-03-10,31.0
105,2022-03-11,31.0
106,2022-03-14,31.0
107,2022-03-15,31.0
108,2022-03-16,31.0
109,2022-03-17,31.0
110,2022-03-18,31.0
111,2022-03-21,31.0
112,2022-03-22,31.0
113,2022-03-23,31.0
114,2022-03-24,31.0
115,2022-03-25,31.0
116,2022-03-28,31.0
117,2022-03-29,30.6
118,2022-03-30,30.0
119,2022-03-31,30.0
120,2022-04-01,30.0
121,2022-04-04,30.0
122,2022-04-05,30.0
123,2022-04-06,30.0
124,2022-04-07,30.8
125,2022-04-08,31.0
126,2022-04-11,31.0
127,2022-04-12,33.0
128,2022-04-13,33.0
129,2022-04-14,33.0
130,2022-04-15,33.0
131,2022-04-18,33.0
132,2022-04-19,33.4
133,2022-04-20,34.0
134,2022-04-21,34.0
135,2022-04-22,34.0
136,2022-04-25,34.0
137,2022-04-26,34.0
138,2022-04-27,34.0
139,2022-04-28,34.0
140,2022-04-29,34.0
141,2022-05-03,33.4
142,2022-05-04,33.0
143,2022-05-05,33.0
144,2022-05-06,33.0
145,2022-05-09,33.0
146,2022-05-10,33.0
147,2022-05-12,33.0
148,2022-05-13,33.0
149,2022-05-16,33.0
150,2022-05-17,33.0
151,2022-05-18,32.4
152,2022-05-19,32.0
153,2022-05-20,32.0
154,2022-05-23,32.0
155,2022-05-24,32.2
156,2022-05-25,33.0
157,2022-05-26,33.0
158,2022-05-27,33.0
159,2022-05-30,33.0
160,2022-05-31,33.0
161,2022-06-01,33.0
162,2022-06-02,33.0
163,2022-06-03,33.0
164,2022-06-06,32.0
165,2022-06-07,32.0
166,2022-06-08,32.0
167,2022-06-09,32.0
168,2022-06-10,32.0
169,2022-06-13,31.2
170,2022-06-15,30.0
171,2022-06-16,30.0
172,2022-06-17,30.0
173,2022-06-20,30.0
174,2022-06-21,30.0
175,2022-06-22,30.0
176,2022-06-23,30.0
177,2022-06-24,30.0
178,2022-06-27,30.0
179,2022-06-28,30.0
180,2022-06-29,30.0
181,2022-06-30,30.0
182,2022-07-01,30.0
183,2022-07-04,31.8
184,2022-07-05,33.0
185,2022-07-06,33.0
186,2022-07-07,33.0
187,2022-07-08,33.0
188,2022-07-11,33.0
189,2022-07-12,33.0
190,2022-07-13,33.0
191,2022-07-14,33.0
